(np.int64(249), np.int64(138), np.int64(51))
(np.int64(253), np.int64(232), np.int64(152))
(np.int64(106), np.int64(52), np.int64(30))
(np.int64(253), np.int64(176), np.int64(65))
(np.int64(253), np.int64(249), np.int64(217))
(np.int64(251), np.int64(209), np.int64(101))
(np.int64(144), np.int64(89), np.int64(43))
(np.int64(234), np.int64(148), np.int64(10))
(np.int64(74), np.int64(20), np.int64(17))
(np.int64(190), np.int64(140), np.int64(80))
